ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777906632.178,pflash_load,1,51,0,22.55,230.00,1,24576,0
1777906633.228,pflash_load,0,46,0,28.26,230.00,1,24576,0
1777906633.228,pflash_load,1,51,0,22.63,230.00,1,24576,0
1777906634.278,pflash_load,0,46,0,28.21,230.00,1,24576,0
1777906634.278,pflash_load,1,51,0,22.88,230.00,1,24576,0
1777906635.327,pflash_load,0,46,0,28.24,230.00,1,24576,0
1777906635.327,pflash_load,1,51,0,22.74,230.00,1,24576,0
1777906636.385,pflash_load,0,46,0,28.09,230.00,1,24576,0
1777906636.385,pflash_load,1,51,0,22.86,230.00,1,24576,0
1777906637.433,pflash_load,0,46,0,28.15,230.00,1,24576,0
1777906637.433,pflash_load,1,51,0,22.83,230.00,1,24576,0
1777906638.483,pflash_load,0,46,0,28.27,230.00,1,24576,0
1777906638.483,pflash_load,1,51,0,22.84,230.00,1,24576,0
1777906639.532,pflash_load,0,46,0,28.09,230.00,1,24576,0
1777906639.532,pflash_load,1,51,0,22.92,230.00,1,24576,0
1777906640.580,pflash_load,0,46,0,28.14,230.00,1,24576,0
1777906640.580,pflash_load,1,51,0,22.84,230.00,1,24576,0
1777906641.630,pflash_load,0,46,0,28.45,230.00,1,24576,0
1777906641.630,pflash_load,1,51,0,22.86,230.00,1,24576,0
1777906642.679,pflash_load,0,46,0,28.33,230.00,1,24576,0
1777906642.679,pflash_load,1,51,0,23.08,230.00,1,24576,0
1777906643.727,pflash_load,0,46,0,28.27,230.00,1,24576,0
1777906643.727,pflash_load,1,51,0,22.96,230.00,1,24576,0
1777906644.777,pflash_load,0,46,0,28.46,230.00,1,24576,0
1777906644.777,pflash_load,1,51,0,22.77,230.00,1,24576,0
1777906645.824,pflash_load,0,46,0,28.40,230.00,1,24576,0
1777906645.824,pflash_load,1,51,0,22.96,230.00,1,24576,0
1777906646.873,pflash_load,0,46,0,28.47,230.00,1,24576,0
1777906646.873,pflash_load,1,51,0,22.97,230.00,1,24576,0
1777906647.922,pflash_load,0,46,0,28.35,230.00,1,24576,0
1777906647.922,pflash_load,1,51,0,22.92,230.00,1,24576,0
1777906648.970,pflash_load,0,46,0,28.48,230.00,1,24576,0
1777906648.970,pflash_load,1,51,0,22.96,230.00,1,24576,0
1777906650.020,pflash_load,0,46,0,28.33,230.00,1,24576,0
1777906650.020,pflash_load,1,51,0,22.71,230.00,1,24576,0
1777906651.068,pflash_load,0,46,0,28.42,230.00,1,24576,0
1777906651.068,pflash_load,1,51,0,22.62,230.00,1,24576,0
1777906652.116,pflash_load,0,46,0,28.54,230.00,1,24576,0
1777906652.116,pflash_load,1,51,0,22.77,230.00,1,24576,0
1777906653.167,pflash_load,0,46,0,28.36,230.00,1,24576,0
1777906653.167,pflash_load,1,51,0,23.03,230.00,1,24576,0
1777906654.222,pflash_load,0,46,0,28.37,230.00,1,24576,0
1777906654.222,pflash_load,1,51,0,23.16,230.00,1,24576,0
1777906655.273,pflash_load,0,46,0,28.48,230.00,1,24576,0
1777906655.273,pflash_load,1,51,0,22.95,230.00,1,24576,0
1777906656.323,pflash_load,0,46,0,28.35,230.00,1,24576,0
1777906656.323,pflash_load,1,51,0,22.90,230.00,1,24576,0
1777906657.372,pflash_load,0,46,0,28.40,230.00,1,24576,0
1777906657.372,pflash_load,1,51,0,22.75,230.00,1,24576,0
1777906658.422,pflash_load,0,46,0,28.56,230.00,1,24576,0
1777906658.422,pflash_load,1,51,0,22.79,230.00,1,24576,0
1777906659.471,pflash_load,0,46,0,28.40,230.00,1,24576,0
1777906659.471,pflash_load,1,51,0,22.91,230.00,1,24576,0
